date,coffee_arabica
2007-01-01,2.745413286
2007-02-01,2.690297786
2007-03-01,2.581169096
2007-04-01,2.52649452
2007-05-01,2.496511688
2007-06-01,2.630773046
2007-07-01,2.593294506
2007-08-01,2.715871378
2007-09-01,2.822795448
2007-10-01,2.960584198
2007-11-01,2.8880522
2007-12-01,3.033116196
2008-01-01,3.083381532
2008-02-01,3.467646798
2008-03-01,3.304504918
2008-04-01,3.10190034
2008-05-01,3.12945809
2008-06-01,3.22205213
2008-07-01,3.248728032
2008-08-01,3.228225066
2008-09-01,3.158559074
2008-10-01,2.724689858
2008-11-01,2.687211318
2008-12-01,2.622836414
2009-01-01,2.82852746
2009-02-01,2.854541976
2009-03-01,2.833377624
2009-04-01,2.973591456
2009-05-01,3.328755738
2009-06-01,3.302300298
2009-07-01,3.10630958
2009-08-01,3.301638912
2009-09-01,3.274522086
2009-10-01,3.407681134
2009-11-01,3.355652102
2009-12-01,3.4868159689
2010-01-01,3.50314118
2010-02-01,3.480213132
2010-03-01,3.6265999
2010-04-01,3.731098888
2010-05-01,3.820165536
2010-06-01,4.20861958
2010-07-01,4.480008302
2010-08-01,4.664755458
2010-09-01,4.909909202
2010-10-01,4.798134968
2010-11-01,5.147346776
2010-12-01,5.471205454
2011-01-01,5.815126174
2011-02-01,6.346880518
2011-03-01,6.439033634
2011-04-01,6.616505544
2011-05-01,6.417428358
2011-06-01,6.062264076
2011-07-01,5.908822524
2011-08-01,5.962174328
2011-09-01,6.060059456
2011-10-01,5.463489284
2011-11-01,5.403303158
2011-12-01,5.218556002
2012-01-01,5.229508955
2012-02-01,4.941876192
2012-03-01,4.437018212
2012-04-01,4.22074499
2012-05-01,4.07083083
2012-06-01,3.718973478
2012-07-01,4.19869879
2012-08-01,3.85421253704
2012-09-01,3.945828876
2012-10-01,3.821047384
2012-11-01,3.525407842
2012-12-01,3.367336588
2013-01-01,3.467646798
2013-02-01,3.295025052
2013-03-01,3.302079836
2013-04-01,3.302741222
2013-05-01,3.24489391026
2013-06-01,3.0480965889
2013-07-01,3.05091610617
2013-08-01,2.979634119
2013-09-01,2.91630283057
2013-10-01,2.83734594
2013-11-01,2.69003533124
2013-12-01,2.777159814
2014-01-01,2.926192126
2014-02-01,3.828102168
2014-03-01,4.719870958
2014-04-01,4.926884776
2014-05-01,4.72229604
2014-06-01,4.362722518
2014-07-01,4.34089678
2014-08-01,4.695179214
2014-09-01,4.641386486
2014-10-01,4.966788398
2014-11-01,4.616033356
2014-12-01,4.339133084
2015-01-01,4.188778
2015-02-01,3.943844718
2015-03-01,3.543706188
2015-04-01,3.6155768
2015-05-01,3.493881776
2015-06-01,3.522100912
2015-07-01,3.40503559
2015-08-01,3.459489704
2015-09-01,3.22205213
2015-10-01,3.37858015
2015-11-01,3.262396676
2015-12-01,3.277388092
2016-01-01,3.197360386
2016-02-01,3.25622374
2016-03-01,3.4722765
2016-04-01,3.399964964
2016-05-01,3.421349778
2016-06-01,3.64754379
2016-07-01,3.786655312
2016-08-01,3.693620348
2016-09-01,3.88674506
2016-10-01,3.945387952
2016-11-01,4.059146344
2016-12-01,3.566634236
2017-01-01,3.717209782
2017-02-01,3.66738537
2017-03-01,3.53069893
2017-04-01,3.42597948
2017-05-01,3.30693
2017-06-01,3.157456764
2017-07-01,3.299434292
2017-08-01,3.304284456
2017-09-01,3.231091072
2017-10-01,3.102120802
2017-11-01,3.10630958
2017-12-01,3.029588804
2018-01-01,3.060233022
2018-02-01,3.004456136
2018-03-01,2.976898386
2018-04-01,2.961686508
2018-05-01,2.989685182
2018-06-01,2.954852186
2018-07-01,2.87923372
2018-08-01,2.760404702
2018-09-01,2.671558516
2018-10-01,3.027825108
2018-11-01,3.022754482
2018-12-01,2.80207202
2019-01-01,2.832054852
2019-02-01,2.83183439
2019-03-01,2.731303718
2019-04-01,2.670456206
2019-05-01,2.65766941
2019-06-01,2.860053526
2019-07-01,2.986598714
2019-08-01,2.782891826
2019-09-01,2.841534718
2019-10-01,2.799646938
2019-11-01,3.108073276
2019-12-01,3.455080464
2020-01-01,3.134749178
2020-02-01,2.9872601
2020-03-01,3.270112846
2020-04-01,3.406578824
2020-05-01,3.303402608
2020-06-01,3.119978224
2020-07-01,3.235941236
2020-08-01,3.59904215
2020-09-01,3.672015072
2020-10-01,3.352345172
2020-11-01,3.323023726
2020-12-01,3.479110822
2021-01-01,3.542383416
2021-02-01,3.669149066
2021-03-01,3.68281771
2021-04-01,3.71809163
2021-05-01,4.110734452
2021-06-01,4.243011652
2021-07-01,4.503818198
2021-08-01,4.767270288
2021-09-01,4.972299948
2021-10-01,5.314456972
2021-11-01,5.709083952
2021-12-01,5.910145296
2022-01-01,5.976283896
2022-02-01,6.169188146
2022-03-01,5.698501776
2022-04-01,5.854147948
2022-05-01,5.741271404
2022-06-01,6.033824478
2022-07-01,5.639197498
2022-08-01,5.917861466
2022-09-01,5.897138038
2022-10-01,5.292851696
2022-11-01,4.715461718
2022-12-01,4.629481538
